document_id;exact_match;field;gold_value;nature_input_characters;raw_rule_based_echelle;raw_rule_based_public_vise;rule_based_prediction
D044;False;public_vise;autre;;;EVALUATION DES POLITIQUES PUBLIQUES ET DYNAMIQUES PROFESSIONNELLES DES PERSONNES HANDICAPEES  Statut tri: accepted Source: IReSP URL: https://iresp.net/projets_finances/evaluation-des-politiques-publiques-et-dynamiques-professionnelles-des-personnes-handicapees/ Programme concerné: Autonomie Nom de l'appel: Blanc (session 8) Année: 2017 État du projet: Clos Durée: 36 mois Subvention allouée: 108 790,00 € Financeurs: CNSA Disciplines: Economie  EVALUATION DES POLITIQUES PUBLIQUES ET DYNAMIQUES PROFESSIONNELLES DES PERSONNES HANDICAPEES - IReSP L’IReSP L’institut Missions Organisation Les instances Équipe Actualités Contact Thématiques Addictions Autonomie, grand âge et handicap Services, interventions et politiques favorables à la santé Programme Antiépileptiques MESSIDORE Portail des études en santé Financements Les financements à L’IResp Programmes et appels Procédure d’évaluation Programme Addictions Programme Antiépileptiques Programme Autonomie, grand âge et handicap Programme MESSIDORE Programme Services, interventions et politiques favorables à la santé Appel à projets clos Subventions hors appels à projets Suivi des projets financés Projets financés Animation L’animation de la recherche en Santé Publique Evènements à venir Toutes nos actions Ressources des actions d’animation Ressources Lettre d’information en santé publique Revue « Questions de Santé Publique » Publications de l’IReSP Offres d’emploi en Santé Publique Accueil » EVALUATION DES POLITIQUES PUBLIQUES ET DYNAMIQUES PROFESSIONNELLES DES PERSONNES HANDICAPEES Programme concerné Autonomie Nom de l'appel Blanc (session 8) Année 2017 Modalité de soutien Projet de recherche complet État du projet Clos Durée 36 mois Subvention allouée 108 790,00 € Financeurs CNSA Disciplines Economie EVALUATION DES POLITIQUES PUBLIQUES ET DYNAMIQUES PROFESSIONNELLES DES PERSONNES HANDICAPEES Résumé de soumission Les politiques publiques en matière de handicap souffrent d’un manque d’évaluation en France alors même que désormais, chaque loi doit comporter des dispositions relatives à l’intégration dans l’emploi et en amont à l’accès et à l’intégration effective dans le système éducatif.;ainés et autres
D044;False;echelle;nationale;;internationale;;internationale
D044;False;nature_initiative;enquête;2500;;;formation
D045;False;public_vise;autre;;;Méthodes: Au regard des observations préalables déjà menées dans ce domaine, nous émettons l’hypothèse qu’une plus grande prise en compte des pratiques d’expertise à la fois des patients et des professionnels ainsi qu’un meilleur partage de ces expertises complémentaires permettraient d’ajuster la prescription et l’appropriation des dispositifs prothétiques et de réduire le nombre d’abandons.;ainés et autres
D045;False;echelle;départementale;;;;
D045;False;nature_initiative;enquête;2500;;;formation
D046;False;public_vise;autre;;;Vécus, besoins et attentes des familles de personnes polyhandicapées vieillissantes  Statut tri: accepted Source: IReSP URL: https://iresp.net/projets_finances/vecus-besoins-et-attentes-des-familles-de-personnes-polyhandicapees-vieillissantes/ Programme concerné: Autonomie Nom de l'appel: Blanc (session 13) Année: 2022 État du projet: En cours Durée: 36 mois Subvention allouée: 242 274,20 € Financeurs: CNSA Disciplines: psychologie, santé publique, médecine, épidémiologie  Vécus, besoins et attentes des familles de personnes polyhandicapées vieillissantes - IReSP L’IReSP L’institut Missions Organisation Les instances Équipe Actualités Contact Thématiques Addictions Autonomie, grand âge et handicap Services, interventions et politiques favorables à la santé Programme Antiépileptiques MESSIDORE Portail des études en santé Financements Les financements à L’IResp Programmes et appels Procédure d’évaluation Programme Addictions Programme Antiépileptiques Programme Autonomie, grand âge et handicap Programme MESSIDORE Programme Services, interventions et politiques favorables à la santé Appel à projets clos Subventions hors appels à projets Suivi des projets financés Projets financés Animation L’animation de la recherche en Santé Publique Evènements à venir Toutes nos actions Ressources des actions d’animation Ressources Lettre d’information en santé publique Revue « Questions de Santé Publique » Publications de l’IReSP Offres d’emploi en Santé Publique Accueil » Vécus, besoins et attentes des familles de personnes polyhandicapées vieillissantes Programme concerné Autonomie Nom de l'appel Blanc (session 13) Année 2022 Modalité de soutien Projet de recherche complet Démarche de recherche du projet Recherche participative État du projet En cours Durée 36 mois Subvention allouée 242 274,20 € Financeurs CNSA Disciplines psychologie, santé publique, médecine, épidémiologie Vécus, besoins et attentes des familles de personnes polyhandicapées vieillissantes Résumé de soumission Contexte Le polyhandicap, situation de handicap rare, est une affection chronique conséquence d’une anomalie ou d’une lésion survenant sur un cerveau en développement, à l’origine de graves perturbations à expressions multiples et évolutives de l’efficience motrice, perceptive et cognitive.;ainés et autres
D046;False;echelle;régionale;;;;
D046;False;nature_initiative;enquête;2500;;;formation
D047;False;public_vise;autre;;;Mieux Inclure en classe pour le bien-être de tous: Mise en place d’un dispositif de formation des Enseignants basé sur des mises en situation professionnelle d’éducation inclusive  Statut tri: accepted Source: IReSP URL: https://iresp.net/projets_finances/mieux-inclure-en-classe-pour-le-bien-etre-de-tous-mise-en-place-dun-dispositif-de-formation-des-enseignants-base-sur-des-mises-en-situation-professionnelle-deducation-inclusive/ Programme concerné: Autonomie Nom de l'appel: Blanc (session 9) Année: 2018 État du projet: Clos Durée: 24 mois Subvention allouée: 107 632,00 € Financeurs: CNSA Disciplines: Psychologie sociale, Sciences de l’éducation  Mieux Inclure en classe pour le bien-être de tous: Mise en place d’un dispositif de formation des Enseignants basé sur des mises en situation professionnelle d’éducation inclusive - IReSP L’IReSP L’institut Missions Organisation Les instances Équipe Actualités Contact Thématiques Addictions Autonomie, grand âge et handicap Services, interventions et politiques favorables à la santé Programme Antiépileptiques MESSIDORE Portail des études en santé Financements Les financements à L’IResp Programmes et appels Procédure d’évaluation Programme Addictions Programme Antiépileptiques Programme Autonomie, grand âge et handicap Programme MESSIDORE Programme Services, interventions et politiques favorables à la santé Appel à projets clos Subventions hors appels à projets Suivi des projets financés Projets financés Animation L’animation de la recherche en Santé Publique Evènements à venir Toutes nos actions Ressources des actions d’animation Ressources Lettre d’information en santé publique Revue « Questions de Santé Publique » Publications de l’IReSP Offres d’emploi en Santé Publique Accueil » Mieux Inclure en classe pour le bien-être de tous: Mise en place d’un dispositif de formation des Enseignants basé sur des mises en situation professionnelle d’éducation inclusive Programme concerné Autonomie Nom de l'appel Blanc (session 9) Année 2018 Modalité de soutien Projet de recherche complet État du projet Clos Durée 24 mois Subvention allouée 107 632,00 € Financeurs CNSA Disciplines Psychologie sociale, Sciences de l’éducation Mieux Inclure en classe pour le bien-être de tous: Mise en place d’un dispositif de formation des Enseignants basé sur des mises en situation professionnelle d’éducation inclusive Résumé de soumission Permettre au plus grand nombre d’enfants, quelles que soient leurs particularités, d’avoir accès à une scolarisation adaptée constitue le principe central de l’éducation inclusive.;ainés et autres
D047;False;echelle;départementale;;;;
D047;True;nature_initiative;formation;2500;;;formation
D048;True;public_vise;autre;;;Dès la naissance, la prise en charge des enfants handicapés diffère de celle des autres enfants: avant l’âge de 3 ans, 78% des enfants bénéficiaires de l’AEEH sont gardés exclusivement par leurs parents, c’est le cas de 56% des autres enfants.;autre
D048;False;echelle;régionale;;;;
D048;False;nature_initiative;enquête;2500;;;formation
D049;False;public_vise;public non connu;;;REndre Visible les Étudiants Aidants par l’Autonomisation  Statut tri: accepted Source: IReSP URL: https://iresp.net/projets_finances/rendre-visible-les-etudiants-aidants-par-lautonomisation/ Programme concerné: Autonomie Nom de l'appel: Analyse des politiques de l’autonomie, de l’offre médico-sociale et des besoins des publics Année: 2024 État du projet: En cours Durée: 48 mois Subvention allouée: 105 050,00 Financeurs: CNSA Disciplines: les sciences du langage, les sciences de l'éducation.;autre
D049;False;echelle;départementale;;quartier;;quartier
D049;False;nature_initiative;enquête;2500;;;formation
D050;False;public_vise;autre;;;"Elle comprend 3 volets principaux: (1) au sujet des dispositifs d’APA (à partir d’archives, documentations et ethnographie: identification des dispositifs, de leurs spécificités, des publics accueillis et de la spécificité de leur parcours, des caractéristiques des professionnels engagés, (2) concernant les médecins traitants (enquête par questionnaire dans les régions sélectionnées grâce à des partenaires médecins ainsi que les réseaux professionnels et syndicats; puis enquête par entretiens semi-directifs dans les départements choisis suivant les profils dégagés quantitativement et les dynamiques locales), (3) observations directes et entretiens répétés auprès de personnes concernées dans les départements retenus.";professionnels
D050;False;echelle;régionale;;départementale | régionale | nationale;;départementale | régionale | nationale
D050;False;nature_initiative;enquête;2500;;;formation
D051;True;public_vise;ainés et autres;;;Les porteurs et partenaires des projets étaient nombreux et variés: l'association « Norm’handy Mobi », l'association pour personnes âgées « La Charité », les « sénioritas » (club de lectrices seniors), le club du bonheur (association de seniors), le collectif du jardin de l'amitié, la Maison de la Jeunesse et de la Culture « 17b Venoix », des centres d'animation, ainsi que des écoles primaires, un lycée, des EHPAD et des résidences seniors.;ainés et autres
D051;False;echelle;quartier | régionale;;quartier | communale | départementale;;quartier | communale | départementale
D051;False;nature_initiative;sensibilisation;2500;;;rapport
D052;False;public_vise;professionnels;;;Quatre thématiques ont été retenues: - La lutte contre l’isolement des personnes âgées: « quelles actions pour quels publics? ».;public non connu
D052;False;echelle;communale;;quartier | communale;;quartier | communale
D052;False;nature_initiative;événement;2500;;;
D053;False;public_vise;ainés et autres;;;Titre: La Semaine Bleue des seniors Catégories: Commune: Source PDF: https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/756-pe-623-semaine-bleue-ville-de-libourne.pdf  ---  --- LA FLEUR DE L'AGE: UN ROMAN-PHOTO INTERGÉNÉRATIONNEL ET DES BALADES Le projet est né après le projet Semaine Bleue 2017 « Nos seniors dans l’œil de Ken ».;ainés
D053;False;echelle;communale;;communale | nationale;;communale | nationale
D053;False;nature_initiative;sensibilisation;2500;;;
D054;False;public_vise;ainés et autres;;;Titre: 65+ Catégories: Commune: Source PDF: https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/768-concours-2022-16-65.pdf  ---  --- DIFFUSER ET RENDRE ACCESSIBLE L'INFORMATION Le dispositif 65+ a été mis en place afin d'offrir aux seniors rémois de l'information et une orientation adaptée à leurs besoins.;ainés
D054;False;echelle;communale | intercommunale;;communale;;communale
D054;True;nature_initiative;formation;2500;;;formation
D055;False;public_vise;ainés et autres;;;L'augmentation croissante du nombre de bénéficiaires a conduit le CCAS à professionnaliser le dispositif en se rapprochant des formules d'abonnement proposées par les structures culturelles comme l'Opéra ou La Comédie de Saint-Etienne et à se doter d'une billetterie de spectacles, répondant aux spécificités du public seniors.;ainés
D055;True;echelle;communale;;communale;;communale
D055;True;nature_initiative;dispositif;2500;;;dispositif
D056;True;public_vise;ainés et autres;;;Les individus peuvent être orientés v ers la Cellule d’ écoute psychologique pour les seniors et leurs aidants du CCAS ou vers les partenaires asso - « ALLO BONJOUR », UN APPEL QUOTIDIEN POUR LUTTER CONTRE L ’ISOLEMENT OBJECTIFS Maintenir le lien avec les personnes âgées isolées par un contact téléphonique quotidien.;ainés et autres
D056;False;echelle;communale;;quartier | communale;;quartier | communale
D056;True;nature_initiative;formation;2500;;;formation
D057;False;public_vise;autre;;;En parallèle, lorsqu'il est bien pensé, le maintien à domicile est souvent souhaité par les seniors et leurs familles.;ainés et autres
D057;False;echelle;communale;;communale | départementale;;communale | départementale
D057;False;nature_initiative;événement;2500;;;dispositif
D058;False;public_vise;professionnels;;;Pilotée par les deux chargés de projets qui en conçoivent les formats, elle s'adresse à différents publics qu'il s'agit de sensibiliser afin de les doter d'une culture commune de la prise en compte des spécificités des publics seniors et de leur accompagnement sur le territoire strasbourgeois (bénévoles associatifs, professionnels de l'accueil, grand public, etc.) DES ATELIERS ET DES DÉBATS AUTOUR DE LA PERTE D'AUTONOMIE ET DES MOYENS D'Y RÉPONDRE Différentes étapes ont été nécessaires pour la réalisation de ce projet.;ainés et autres
D058;False;echelle;communale;;quartier | communale;;quartier | communale
D058;True;nature_initiative;atelier;2500;;;atelier
D059;True;public_vise;ainés et autres;;;À cette occasion, les seniors et les proches aidants ont pu échanger, demander des informations auprès de différents actrices et acteurs du secteur de la gérontologie (associations, entreprises, collectivités territoriales, organismes).;ainés et autres
D059;False;echelle;départementale | régionale;;communale | intercommunale | départementale;;communale | intercommunale | départementale
D059;True;nature_initiative;formation;2500;;;formation
D060;True;public_vise;ainés et autres;;;"DE NOMBREUX ACTEURS MIS À CONTRIBUTION  Afin de favoriser la coopération et développer une coordination des acteurs entre le secteur du domicile, du social et médico-social et d u sanitaire, l’ensemble des professionnels de ces secteurs est associé:  - le CHU et son service d’hospitalisation de jour pour réaliser un bilan pluridisciplinaire; - le département via la Maison Loire Autonomie pour la mise en place de plans d’aide Caisses de retraite ou Allocation personnalisée d’autonomie;  - les services sociaux et les professionnels de santé: médecins, infirmiers, pharmaciens... pour le repérage des personnes fragiles et pour la mise en œuvre des préconisations;  - les structures sociales de proximité (Centres sociaux, Amicales laïques, Clubs seniors...) et les services de maintien à domicile pour la diffusion de l’information et le signalement des person nes en difficulté;  - le service de portage de repas à domicile du CCAS avec une formation des porteurs de repas à la veille active pour un repérage des situations à risque;  - le réseau de bénévoles mis en place par la Ville pour lutter contre l’isolement des personnes âgées par des visites de convivialité.";ainés et autres
D060;False;echelle;communale;;communale | départementale | nationale;;communale | départementale | nationale
D060;True;nature_initiative;rapport;2500;;;rapport
